ID,NOM,NOM_M,INSEE_COM,STATUT,POPULATION,INSEE_CAN,INSEE_ARR,INSEE_DEP,INSEE_REG,SIREN_EPCI,2008__ELT0,2008__DIST,2008__SERP,2013__ELT1,2013__DIST,2013__SERP,2018__ELT1,2018__DIST,2018__SERP,08_DIS_ELT,13_DIS_ELT,18_DIS_ELT,08_SER_ELT,13_SER_ELT,18_SER_ELT,AG0813_DIS,AG1318_DIS,AG0813_SER,AG1318_SER,17EFF47TOT,19EFF47TOT,17EFF56TOT,19EFF56TOT,DIF_EFF47,DIF_EFF56,AGR0813DIS,AGR1318DIS,AGR0813SER,AGR1318SER,RDIF_EFF47,RDIF_EFF56,FLORES2017_EFF_TOT,FLORES2017_EFF_47,FLORES2017_EFF_56,FLORES2019_EFF_TOT,FLORES2019_EFF_47,FLORES2019_EFF_56
COMMUNE_0000000009727226,Echinghen,ECHINGHEN,"62281",Commune simple,"387","14","3","62","32","246200729",64.000000000000000,4.000000000000000,11.000000000000000,63.000000000000000,0.000000000000000,26.000000000000000,90.000000000000000,0.000000000000000,16.000000000000000,0.06250,0.00000,0.00000,0.17188,0.41270,0.17778,-0.012500,0.000000,0.048164,-0.046984,0.000000,0.00000,0.02564,0.02703,0.00000,0.00139,-0.200000,,0.280219,-0.113845,,0.054212,"78","0","2","74","0","2"
COMMUNE_0000000009726970,Loon-Plage,LOON-PLAGE,"59359",Commune simple,"6085","20","4","59","32","245900428",3046.000000000000000,91.000000000000000,242.000000000000000,2974.000000000000000,80.000000000000000,229.000000000000000,3260.000000000000000,93.000000000000000,281.000000000000000,0.02988,0.02690,0.02853,0.07945,0.07700,0.08620,-0.000596,0.000326,-0.000490,0.001840,0.018904,0.01809,0.01021,0.01092,-0.00081,0.00071,-0.019946,0.012119,-0.006167,0.023896,-0.042848,0.069540,"2645","50","27","2930","53","32"
COMMUNE_0000000009727316,Équihen-Plage,EQUIHEN-PLAGE,"62300",Commune simple,"2662","36","3","62","32","246200729",225.000000000000000,37.000000000000000,59.000000000000000,192.000000000000000,14.000000000000000,36.000000000000000,186.000000000000000,16.000000000000000,51.000000000000000,0.16444,0.07292,0.08602,0.26222,0.18750,0.27419,-0.018304,0.002620,-0.014944,0.017338,0.146154,0.17500,0.04615,0.05833,0.02885,0.01218,-0.111311,0.035930,-0.056990,0.092469,0.197395,0.263922,"130","19","6","120","21","7"
COMMUNE_0000000009727225,Saint-Martin-Boulogne,SAINT-MARTIN-BOULOGNE,"62758",Commune simple,"11136","14","3","62","32","246200729",6358.000000000000000,1439.000000000000000,552.000000000000000,6355.000000000000000,1253.000000000000000,541.000000000000000,6687.000000000000000,1288.000000000000000,704.000000000000000,0.22633,0.19717,0.19261,0.08682,0.08513,0.10528,-0.005832,-0.000912,-0.000338,0.004030,0.216648,0.22737,0.05154,0.05735,0.01072,0.00581,-0.025768,-0.004625,-0.003893,0.047339,0.049481,0.112728,"7256","1572","374","6870","1562","394"
COMMUNE_0000000009727311,Isques,ISQUES,"62474",Commune simple,"1160","36","3","62","32","246200729",589.000000000000000,62.000000000000000,19.000000000000000,464.000000000000000,58.000000000000000,12.000000000000000,443.000000000000000,53.000000000000000,20.000000000000000,0.10526,0.12500,0.11964,0.03226,0.02586,0.04515,0.003948,-0.001072,-0.001280,0.003858,0.503987,0.14946,0.00000,0.00000,-0.35453,0.00000,0.037507,-0.008576,-0.039678,0.149188,-0.703451,,"627","316","0","368","55","0"
COMMUNE_0000000009727229,Saint-Léonard,SAINT-LEONARD,"62755",Commune simple,"3410","36","3","62","32","246200729",2379.000000000000000,103.000000000000000,138.000000000000000,2492.000000000000000,121.000000000000000,141.000000000000000,2214.000000000000000,129.000000000000000,114.000000000000000,0.04330,0.04856,0.05827,0.05801,0.05658,0.05149,0.001052,0.001942,-0.000286,-0.001018,0.024148,0.02663,0.00391,0.00491,0.00248,0.00100,0.024296,0.039992,-0.004930,-0.017992,0.102700,0.255754,"2816","68","11","2854","76","14"
COMMUNE_0000000009726956,Leffrinckoucke,LEFFRINCKOUCKE,"59340",Commune simple,"4207","17","4","59","32","245900428",1613.000000000000000,52.000000000000000,135.000000000000000,1352.000000000000000,59.000000000000000,79.000000000000000,1083.000000000000000,16.000000000000000,51.000000000000000,0.03224,0.04364,0.01477,0.08369,0.05843,0.04709,0.002280,-0.005774,-0.005052,-0.002268,0.027902,0.03156,0.00781,0.00544,0.00366,-0.00237,0.070720,-0.132310,-0.060366,-0.038816,0.131173,-0.303457,"896","25","7","919","29","5"
COMMUNE_0000000009727417,Neufchâtel-Hardelot,NEUFCHATEL-HARDELOT,"62604",Commune simple,"3745","36","3","62","32","246200729",979.000000000000000,71.000000000000000,273.000000000000000,824.000000000000000,76.000000000000000,213.000000000000000,802.000000000000000,81.000000000000000,276.000000000000000,0.07252,0.09223,0.10100,0.27886,0.25850,0.34414,0.003942,0.001754,-0.004072,0.017128,0.086687,0.07112,0.14706,0.13933,-0.01557,-0.00773,0.054357,0.019018,-0.014602,0.066259,-0.179612,-0.052564,"646","56","95","689","49","96"
COMMUNE_0000000009727151,Wimille,WIMILLE,"62894",Commune simple,"3987","13","3","62","32","246200729",1814.000000000000000,122.000000000000000,153.000000000000000,1779.000000000000000,54.000000000000000,171.000000000000000,1732.000000000000000,56.000000000000000,184.000000000000000,0.06725,0.03035,0.03233,0.08434,0.09612,0.10624,-0.007380,0.000396,0.002356,0.002024,0.037634,0.03799,0.01008,0.00708,0.00036,-0.00300,-0.109740,0.013048,0.027935,0.021057,0.009566,-0.297619,"1488","56","15","1553","59","11"
COMMUNE_0000000009727227,Baincthun,BAINCTHUN,"62075",Commune simple,"1294","14","3","62","32","246200729",178.000000000000000,20.000000000000000,20.000000000000000,163.000000000000000,20.000000000000000,20.000000000000000,185.000000000000000,20.000000000000000,13.000000000000000,0.11236,0.12270,0.10811,0.11236,0.12270,0.07027,0.002068,-0.002918,0.002068,-0.010486,0.026087,0.02703,0.04348,0.03604,0.00094,-0.00744,0.018405,-0.023782,0.018405,-0.085460,0.036033,-0.171113,"115","3","5","111","3","4"
