MEAN_X,MEAN_Y,nom_arret,Disttogare,good_names,i_est_200_,i_est_1km_,ind_sum,men_sum,men_pauv_s,men_1ind_s,men_5ind_s,men_prop_s,men_fmp_su,ind_snv_su,men_surf_s,men_coll_s,men_mais_s,log_av45_s,log_45_70_,log_70_90_,log_ap90_s,log_inc_su,log_soc_su,ind_0_3_su,ind_4_5_su,ind_6_10_s,ind_11_17_,ind_18_24_,ind_25_39_,ind_40_54_,ind_55_64_,ind_65_79_,ind_80p_su,ind_inc_su,alti1
656460.198659780435264,7105870.140831665135920,LAAC-FRAC,1950.002,FRAC LAAC,1.000000,0.000000,80.500000,54.700000,4.800000,33.900000,0.100000,32.700000,3.700000,1784335.500000,3594.100000,51.900000,2.800000,0.000000,52.900000,1.000000,0.800000,0.000000,0.600000,1.300000,0.200000,1.400000,1.700000,6.400000,22.200000,13.300000,12.300000,12.500000,9.200000,0.000000,4
656562.703904671361670,7105185.256776061840355,VICTOIRE,1411.597,VICTOIRE,0.000000,0.000000,1247.000000,763.000000,143.000000,451.000000,15.000000,276.000000,79.000000,28022227.900000,53192.000000,656.000000,107.000000,100.000000,456.000000,71.000000,135.000000,1.000000,197.000000,32.000000,12.000000,40.000000,82.500000,126.500000,257.000000,232.000000,154.000000,228.000000,82.000000,1.000000,8
656687.189387047546916,7104500.475798573344946,POMPIERS,1088.876,POMPIERS,0.000000,0.000000,502.000000,318.000000,65.000000,187.000000,2.000000,98.000000,48.000000,10314638.900000,20952.000000,312.000000,6.000000,62.000000,189.000000,33.000000,32.000000,2.000000,98.000000,15.500000,7.000000,7.000000,30.500000,52.000000,94.000000,84.000000,68.000000,97.000000,47.000000,0.000000,14
656906.174079355201684,7104720.101754561997950,110e RI,1380.533,110E RI,1.000000,0.000000,750.500000,393.900000,68.100000,191.400000,14.100000,120.600000,60.100000,15926268.500000,29108.800000,317.200000,76.700000,37.300000,296.400000,20.200000,39.000000,1.000000,185.000000,17.100000,15.100000,27.600000,76.200000,63.100000,113.300000,146.300000,95.300000,135.400000,58.100000,3.000000,6
657004.833237579558045,7105705.681578313931823,FENELON,2094.262,FENELON,0.000000,0.000000,1087.500000,592.000000,126.000000,310.000000,18.000000,211.000000,76.000000,23702552.000000,42514.000000,443.000000,149.000000,95.000000,324.000000,72.000000,101.000000,0.000000,210.000000,27.000000,23.000000,67.500000,78.000000,100.000000,192.000000,186.000000,153.000000,180.000000,77.000000,4.000000,9
657076.198081469046883,7104446.025233635678887,STADE TRIBUT,1441.030,STADE TRIBUT,2.000000,0.000000,461.000000,209.100000,11.000000,66.600000,9.900000,163.400000,13.900000,13751541.400000,23147.200000,48.900000,160.200000,38.800000,96.600000,41.800000,31.900000,0.000000,11.900000,13.000000,6.000000,22.500000,37.200000,31.900000,61.700000,77.600000,83.700000,84.500000,42.900000,0.000000,3
657235.372485423693433,7105880.557234631851315,GEERAERT,2376.441,GEERAERT,0.000000,0.000000,466.500000,282.000000,29.000000,162.000000,4.000000,121.000000,21.000000,13228568.100000,24623.000000,216.000000,66.000000,66.000000,139.000000,8.000000,69.000000,0.000000,1.000000,8.000000,4.000000,9.000000,32.000000,38.500000,90.000000,78.000000,68.000000,97.000000,41.000000,1.000000,8
657016.615402698400430,7105190.665194624103606,GLACIS,1735.011,GLACIS,0.000000,0.000000,1593.000000,847.000000,232.000000,392.000000,25.000000,88.000000,181.000000,26767105.200000,54088.000000,818.000000,29.000000,1.000000,621.000000,163.000000,61.000000,1.000000,719.000000,80.500000,37.000000,95.500000,124.000000,111.000000,279.000000,269.000000,212.000000,256.000000,128.000000,1.000000,10
657043.777130022644997,7105449.369731032289565,ST JEAN BAPTISTE,1929.757,SAINT JEAN BAPTISTE,0.000000,0.000000,724.500000,324.000000,96.000000,123.000000,19.000000,30.000000,75.000000,11964699.400000,22508.000000,289.000000,35.000000,0.000000,181.000000,71.000000,71.000000,1.000000,276.000000,36.000000,17.000000,43.000000,85.500000,76.000000,111.000000,136.000000,92.000000,105.000000,22.000000,1.000000,7
657456.231471194652840,7104699.174583295360208,MYOSOTIS,1878.582,MYOSOTIS,0.000000,0.000000,1010.500000,520.000000,76.000000,221.000000,19.000000,295.000000,50.000000,25234729.400000,46302.000000,278.000000,242.000000,97.000000,276.000000,79.000000,68.000000,0.000000,140.000000,31.500000,13.500000,46.000000,56.500000,67.000000,140.000000,172.000000,181.000000,202.000000,101.000000,0.000000,5
